director_name,genres,movie_title,comb
John Maybury,Drama Mystery Sci-Fi Thriller,the jacket,Jennifer Jason Leigh Jason Lewis Angel Coulby John Maybury Drama Mystery Sci-Fi Thriller
Ron Clements,Adventure Animation Comedy Family Fantasy Musical Romance,aladdin,Robin Williams Frank Welker Scott Weinger Ron Clements Adventure Animation Comedy Family Fantasy Musical Romance
F. Gary Gray,Biography Crime Drama History Music,straight outta compton,Aldis Hodge Neil Brown Jr. R. Marcos Taylor F. Gary Gray Biography Crime Drama History Music
Steven Spielberg,Action Adventure,indiana jones and the temple of doom,Harrison Ford Amrish Puri Kate Capshaw Steven Spielberg Action Adventure
Igor Kovalyov,Adventure Animation Comedy Drama Family Musical,the rugrats movie,Elizabeth Daily Cree Summer Christine Cavanaugh Igor Kovalyov Adventure Animation Comedy Drama Family Musical
Lee Tamahori,Crime Drama Thriller,along came a spider,Morgan Freeman Billy Burke Monica Potter Lee Tamahori Crime Drama Thriller
Stephen Frears,Biography Comedy Drama Music Romance,florence foster jenkins,Meryl Streep Nina Arianda John Sessions Stephen Frears Biography Comedy Drama Music Romance
Robert Rodriguez,Action Crime Thriller,once upon a time in mexico,Johnny Depp Salma Hayek Enrique Iglesias Robert Rodriguez Action Crime Thriller
John McTiernan,Action Thriller,die hard,Alan Rickman Bruce Willis Reginald VelJohnson John McTiernan Action Thriller
David Wain,Comedy,role models,Joe Lo Truglio Ken Marino Bobb'e J. Thompson David Wain Comedy
Adam McKay,Biography Comedy Drama History,the big short,Ryan Gosling Christian Bale Charlie Talbert Adam McKay Biography Comedy Drama History
Ang Lee,Comedy Drama Music,taking woodstock,Imelda Staunton Kevin Chamberlin Demetri Martin Ang Lee Comedy Drama Music
Gavin O'Connor,Biography Drama History Sport,miracle,Eddie Cahill Noah Emmerich Kenneth Mitchell Gavin O'Connor Biography Drama History Sport
Adam Shankman,Comedy Romance,the wedding planner,Matthew McConaughey Judy Greer Alex Rocco Adam Shankman Comedy Romance
Shinji Aramaki,Adventure Animation Sci-Fi,harlock: space pirate,Shun Oguri Yû Aoi Haruma Miura Shinji Aramaki Adventure Animation Sci-Fi
Wes Anderson,Comedy Drama,the royal tenenbaums,Bill Murray Anjelica Huston Seymour Cassel Wes Anderson Comedy Drama
James Mangold,Mystery Thriller,identity,Clea DuVall Rebecca De Mornay Jake Busey James Mangold Mystery Thriller
Jon Turteltaub,Comedy Romance,last vegas,Robert De Niro Morgan Freeman Romany Malco Jon Turteltaub Comedy Romance
John Glen,Action Adventure Thriller,for your eyes only,Julian Glover Topol Desmond Llewelyn John Glen Action Adventure Thriller
Peter Chelsom,Comedy Romance,serendipity,Lilli Lavine David Sparrow Ann Talman Peter Chelsom Comedy Romance
Peter Hyams,Action Crime Sci-Fi Thriller,timecop,Mia Sara Bruce McGill Gloria Reuben Peter Hyams Action Crime Sci-Fi Thriller
Ben Stiller,Comedy,zoolander,Milla Jovovich Alexander Skarsgård Will Ferrell Ben Stiller Comedy
Lasse Hallström,Drama Romance Thriller,safe haven,David Lyons Noah Lomax Mimi Kirkland Lasse Hallström Drama Romance Thriller
Kenny Ortega,Comedy Family Fantasy,hocus pocus,Vinessa Shaw Omri Katz Larry Bagby Kenny Ortega Comedy Family Fantasy
Scott Hicks,Comedy Drama Romance,no reservations,Zoë Kravitz Lily Rabe Bob Balaban Scott Hicks Comedy Drama Romance
Matthew Vaughn,Action Comedy,kick-ass,Elizabeth McGovern Deborah Twiss Michael Rispoli Matthew Vaughn Action Comedy
Ruben Fleischer,Action Comedy Crime,30 minutes or less,Bianca Kajlich Dilshad Vadsaria Fred Ward Ruben Fleischer Action Comedy Crime
Patrick Lussier,Action Fantasy Horror Thriller,dracula 2000,Gerard Butler Danny Masterson Jeri Ryan Patrick Lussier Action Fantasy Horror Thriller
Miguel Arteta,Comedy Family,"alexander and the terrible, horrible, no good, very bad day",Bella Thorne Steve Carell Jennifer Garner Miguel Arteta Comedy Family
Joe Wright,Drama Romance,pride & prejudice,Talulah Riley Brenda Blethyn Simon Woods Joe Wright Drama Romance
Ridley Scott,Sci-Fi Thriller,blade runner,Harrison Ford Sean Young M. Emmet Walsh Ridley Scott Sci-Fi Thriller
Michael Caton-Jones,Adventure Biography,rob roy,Liam Neeson Jason Flemyng Eric Stoltz Michael Caton-Jones Adventure Biography
McG,Action Drama Thriller,3 days to kill,Connie Nielsen Richard Sammel Tómas Lemarquis McG Action Drama Thriller
James Gray,Crime Drama Thriller,we own the night,Robert Duvall Oleg Taktarov Antoni Corone James Gray Crime Drama Thriller
Janusz Kaminski,Drama Horror Thriller,lost souls,Philip Baker Hall Bob Clendenin Ben Chaplin Janusz Kaminski Drama Horror Thriller
Jacques Perrin,Documentary,winged migration,Jacques Perrin Philippe Labro unknown Jacques Perrin Documentary
Donald Petrie,Comedy Fantasy Romance,just my luck,Samaire Armstrong Carlos Ponce Faizon Love Donald Petrie Comedy Fantasy Romance
Jay Roach,Comedy Drama Sport,"mystery, alaska",Scott Grimes Mary McCormack Ron Eldard Jay Roach Comedy Drama Sport
Brian Levant,Action Comedy Family,the spy next door,Madeline Carroll Amber Valletta George Lopez Brian Levant Action Comedy Family
Michael Ritchie,Comedy Family Fantasy,a simple wish,Mara Wilson Francis Capra Kathleen Turner Michael Ritchie Comedy Family Fantasy
John Carpenter,Action Horror Sci-Fi,ghosts of mars,Jason Statham Clea DuVall Natasha Henstridge John Carpenter Action Horror Sci-Fi
David Gordon Green,Comedy Drama,our brand is crisis,Dominic Flores Zoe Kazan Scoot McNairy David Gordon Green Comedy Drama
Burr Steers,Action Horror Romance,pride and prejudice and zombies,Matt Smith Bella Heathcote Sam Riley Burr Steers Action Horror Romance
Martin Scorsese,Biography Drama History War,kundun,Tenzin Thuthob Tsarong Tulku Jamyang Kunga Tenzin Tencho Gyalpo Martin Scorsese Biography Drama History War
Robert B. Weide,Comedy Drama Romance,how to lose friends & alienate people,James Corden Katherine Parkinson Fenella Woolgar Robert B. Weide Comedy Drama Romance
Jeff Wadlow,Action Comedy Crime,kick-ass 2,Chloë Grace Moretz Donald Faison Augustus Prew Jeff Wadlow Action Comedy Crime
Agustín Díaz Yanes,Adventure Drama History Romance Thriller War,captain alatriste: the spanish musketeer,Viggo Mortensen Elena Anaya Eduardo Noriega Agustín Díaz Yanes Adventure Drama History Romance Thriller War
Camille Delamarre,Action Crime Drama Thriller,brick mansions,Paul Walker Robert Maillet RZA Camille Delamarre Action Crime Drama Thriller
John Glen,Action Adventure Thriller,octopussy,Louis Jourdan Kabir Bedi Steven Berkoff John Glen Action Adventure Thriller
Judd Apatow,Comedy Romance,knocked up,Harold Ramis Martin Starr Charlyne Yi Judd Apatow Comedy Romance
Nick Cassavetes,Drama,my sister's keeper,Jason Patric Sofia Vassilieva Jeffrey Markle Nick Cassavetes Drama
Malcolm D. Lee,Comedy Drama Romance,"welcome home, roscoe jenkins",Mo'Nique Mike Epps Cedric the Entertainer Malcolm D. Lee Comedy Drama Romance
David Lean,Adventure Drama History,a passage to india,Richard Wilson Judy Davis Art Malik David Lean Adventure Drama History
Richard Eyre,Crime Drama Romance Thriller,notes on a scandal,Phil Davis Andrew Simpson Shaun Parkes Richard Eyre Crime Drama Romance Thriller
Gavin Hood,Drama Thriller,rendition,J.K. Simmons Jake Gyllenhaal Meryl Streep Gavin Hood Drama Thriller
unknown,Crime Drama Sci-Fi Thriller,limitless            ,Colin Salmon Mary Elizabeth Mastrantonio Jake McDorman unknown Crime Drama Sci-Fi Thriller
Nicholas Meyer,Action Adventure Sci-Fi Thriller,star trek vi: the undiscovered country,Leonard Nimoy Kurtwood Smith Nichelle Nichols Nicholas Meyer Action Adventure Sci-Fi Thriller
Callie Khouri,Drama,divine secrets of the ya-ya sisterhood,Ellen Burstyn Fionnula Flanagan Matthew Settle Callie Khouri Drama
Jon Favreau,Adventure Drama Family Fantasy,the jungle book,Scarlett Johansson Bill Murray Garry Shandling Jon Favreau Adventure Drama Family Fantasy
Gary Fleder,Crime Drama Mystery Thriller,kiss the girls,Morgan Freeman Tony Goldwyn Tatyana Ali Gary Fleder Crime Drama Mystery Thriller
John Landis,Action Comedy Crime Music,the blues brothers,John Belushi Aretha Franklin Ray Charles John Landis Action Comedy Crime Music
Sanaa Hamri,Comedy Drama Family Romance,the sisterhood of the traveling pants 2,America Ferrera Blythe Danner Michael Rady Sanaa Hamri Comedy Drama Family Romance
Todd Graff,Comedy Music,joyful noise,Dolly Parton Jeremy Jordan Jesse L. Martin Todd Graff Comedy Music
Chris Weitz,Comedy Drama Romance,about a boy,Sharon Small Christopher Webster Peter McNicholl Chris Weitz Comedy Drama Romance
Steve Miner,Action Comedy Horror,lake placid,Oliver Platt Bridget Fonda Ty Olsson Steve Miner Action Comedy Horror
Philip Kaufman,Adventure Drama History,the right stuff,Dennis Quaid Scott Glenn Sam Shepard Philip Kaufman Adventure Drama History
Roland Emmerich,Drama History Thriller,anonymous,Vanessa Redgrave Joely Richardson Rafe Spall Roland Emmerich Drama History Thriller
Wolfgang Petersen,Adventure Drama Family Fantasy,the neverending story,Gerald McRaney Barret Oliver Alan Oppenheimer Wolfgang Petersen Adventure Drama Family Fantasy
Alex Proyas,Action Drama Fantasy Mystery Sci-Fi Thriller,dark city,Rufus Sewell William Hurt Bruce Spence Alex Proyas Action Drama Fantasy Mystery Sci-Fi Thriller
Saul Dibb,Biography Drama History Romance,the duchess,Dominic Cooper Hayley Atwell Charlotte Rampling Saul Dibb Biography Drama History Romance
unknown,Comedy Family,the honeymooners            ,Jackie Gleason Art Carney Joyce Randolph unknown Comedy Family
Walter Murch,Adventure Family Fantasy Horror Mystery,return to oz,Piper Laurie Jean Marsh Tim Rose Walter Murch Adventure Family Fantasy Horror Mystery
Richard Linklater,Action Crime Drama History Western,the newton boys,Matthew McConaughey Lew Temple Dwight Yoakam Richard Linklater Action Crime Drama History Western
Christian Alvart,Horror Mystery Thriller,case 39,Bradley Cooper Callum Rennie Vanesa Tomasino Christian Alvart Horror Mystery Thriller
E. Elias Merhige,Crime Drama Mystery Thriller,suspect zero,Harry Lennix Kevin Chamberlin William Mapother E. Elias Merhige Crime Drama Mystery Thriller
Menno Meyjes,Comedy Drama Family,martian child,Oliver Platt Richard Schiff Sophie Okonedo Menno Meyjes Comedy Drama Family
Robert Rodriguez,Action Adventure Comedy Family Sci-Fi,spy kids: all the time in the world in 4d,Alexa PenaVega Joel McHale Daryl Sabara Robert Rodriguez Action Adventure Comedy Family Sci-Fi
Jodie Foster,Crime Drama Thriller,money monster,Julia Roberts Jack O'Connell Chris Bauer Jodie Foster Crime Drama Thriller
Ronny Yu,Action Comedy Crime Thriller,formula 51,Meat Loaf Junix Inocian Paul Barber Ronny Yu Action Comedy Crime Thriller
Joel Schumacher,Comedy Crime Drama,flawless,Robert De Niro Philip Seymour Hoffman Chris Bauer Joel Schumacher Comedy Crime Drama
Renny Harlin,Crime Horror Mystery Thriller,mindhunters,LL Cool J Clifton Collins Jr. Eion Bailey Renny Harlin Crime Horror Mystery Thriller
Barry Levinson,Comedy Drama,what just happened,Robert De Niro Robin Wright Kristen Stewart Barry Levinson Comedy Drama
Norman Jewison,Drama Thriller,the statement,Charlotte Rampling Colin Salmon John Neville Norman Jewison Drama Thriller
Kenneth Branagh,Drama Musical Romance,the magic flute,Kim-Marie Woodhouse Amy Carson Joseph Kaiser Kenneth Branagh Drama Musical Romance
Steve Carr,Action Comedy Crime,paul blart: mall cop,Erick Avari Adhir Kalyan Allen Covert Steve Carr Action Comedy Crime
Mark Waters,Comedy Family Fantasy Music Romance,freaky friday,Jamie Lee Curtis Julie Gonzalo Willie Garson Mark Waters Comedy Family Fantasy Music Romance
Judd Apatow,Comedy Romance,the 40-year-old virgin,Steve Carell Romany Malco Gerry Bednob Judd Apatow Comedy Romance
John Madden,Comedy Drama Romance,shakespeare in love,Tom Wilkinson Martin Clunes Simon Callow John Madden Comedy Drama Romance
Scott Frank,Crime Drama Mystery Thriller,a walk among the tombstones,Liam Neeson Boyd Holbrook David Harbour Scott Frank Crime Drama Mystery Thriller
Ivan Reitman,Action Comedy Crime,kindergarten cop,Richard Tyson Cathy Moriarty Penelope Ann Miller Ivan Reitman Action Comedy Crime
David Gordon Green,Action Comedy Crime,pineapple express,James Franco Gary Cole Rosie Perez David Gordon Green Action Comedy Crime
Andy Tennant,Comedy Drama Romance,ever after: a cinderella story,Anjelica Huston Dougray Scott Jeanne Moreau Andy Tennant Comedy Drama Romance
Kevin Costner,Drama Romance Western,open range,Robert Duvall Michael Jeter Julian Richings Kevin Costner Drama Romance Western
Joel Schumacher,Drama Horror Sci-Fi Thriller,flatliners,Julia Roberts Oliver Platt Hope Davis Joel Schumacher Drama Horror Sci-Fi Thriller
unknown,Comedy,it's always sunny in philadelphia            ,Rob McElhenney Kaitlin Olson Glenn Howerton unknown Comedy
Richard Attenborough,Drama History War,a bridge too far,Ryan O'Neal Dirk Bogarde Wolfgang Preiss Richard Attenborough Drama History War
Wes Craven,Mystery Thriller,red eye,Robert Pine Carl Gilliard Suzie Plakson Wes Craven Mystery Thriller
David R. Ellis,Horror Thriller,final destination 2,Sarah Carter Michael Landes Keegan Connor Tracy David R. Ellis Horror Thriller
Joel Coen,Adventure Comedy Crime Music,"o brother, where art thou?",Holly Hunter Tim Blake Nelson Daniel von Bargen Joel Coen Adventure Comedy Crime Music
Scott Stewart,Action Fantasy Horror,legion,Dennis Quaid Kate Walsh Charles S. Dutton Scott Stewart Action Fantasy Horror
Michael Bay,Comedy Crime Drama,pain & gain,Dwayne Johnson Larry Hankin Michael Rispoli Michael Bay Comedy Crime Drama
Paul Weitz,Comedy Drama Romance,in good company,Scarlett Johansson Ty Burrell Dennis Quaid Paul Weitz Comedy Drama Romance
Jonathan Frakes,Action Adventure Comedy Sci-Fi Thriller,clockstoppers,Michael Biehn Paula Garcés Jason George Jonathan Frakes Action Adventure Comedy Sci-Fi Thriller
Lawrence Kasdan,Action Crime Drama Western,silverado,Scott Glenn Todd Allen Brad Leland Lawrence Kasdan Action Crime Drama Western
Kevin Allen,Action Adventure Comedy Family Romance Sci-Fi,agent cody banks 2: destination london,Daniel Roebuck Frankie Muniz David Kelly Kevin Allen Action Adventure Comedy Family Romance Sci-Fi
Garry Marshall,Comedy Romance,new year's eve,Robert De Niro Common Seth Meyers Garry Marshall Comedy Romance
Michael Cristofer,Drama Mystery Romance Thriller,original sin,Angelina Jolie Pitt Gregory Itzin Jack Thompson Michael Cristofer Drama Mystery Romance Thriller
James McTeigue,Crime Mystery Thriller,the raven,Pam Ferris Dave Legeno Kevin McNally James McTeigue Crime Mystery Thriller
Donald Petrie,Comedy Romance,welcome to mooseport,Rip Torn Ray Romano Maura Tierney Donald Petrie Comedy Romance
Andrew Morahan,Action Fantasy Romance Sci-Fi,highlander: the final dimension,Christopher Lambert Mako Mario Van Peebles Andrew Morahan Action Fantasy Romance Sci-Fi
Bob Rafelson,Crime Drama Thriller,blood and wine,Harold Perrineau Mike Starr Judy Davis Bob Rafelson Crime Drama Thriller
Michael Cohn,Fantasy Horror,snow white: a tale of terror,David Conrad Chris Bauer Monica Keena Michael Cohn Fantasy Horror
Woody Allen,Comedy Crime Mystery Romance,the curse of the jade scorpion,Woody Allen Elizabeth Berkley Peter Gerety Woody Allen Comedy Crime Mystery Romance
David O. Russell,Comedy Romance,accidental love,Jake Gyllenhaal Kirstie Alley Beverly D'Angelo David O. Russell Comedy Romance
Alan Shapiro,Adventure Family,flipper,Paul Hogan Chelsea Field Jessica Wesson Alan Shapiro Adventure Family
Tarsem Singh,Action Mystery Sci-Fi Thriller,self/less,Ryan Reynolds Derek Luke Sandra Ellis Lafferty Tarsem Singh Action Mystery Sci-Fi Thriller
Fernando Meirelles,Drama Mystery Romance Thriller,the constant gardener,Archie Panjabi Danny Huston Donald Sumpter Fernando Meirelles Drama Mystery Romance Thriller
Mel Gibson,Drama,the passion of the christ,Christo Jivkov Maia Morgenstern Hristo Shopov Mel Gibson Drama
Chris Columbus,Comedy Drama Family Romance,mrs. doubtfire,Robin Williams Mara Wilson Matthew Lawrence Chris Columbus Comedy Drama Family Romance
Barry Levinson,Drama,rain man,Tom Cruise Valeria Golino Beth Grant Barry Levinson Drama
Clint Eastwood,Drama,gran torino,Clint Eastwood Dreama Walker Ahney Her Clint Eastwood Drama
Oliver Stone,Biography Drama History,w.,Toby Jones Scott Glenn Bruce McGill Oliver Stone Biography Drama History
Pierre Morel,Action Thriller,taken,Liam Neeson Holly Valance Xander Berkeley Pierre Morel Action Thriller
Michael Hoffman,Drama Romance,the best of me,Luke Bracey Gerald McRaney Clarke Peters Michael Hoffman Drama Romance
Mick Jackson,Action Drama Music Romance,the bodyguard,Bill Cobbs Mike Starr DeVaughn Nixon Mick Jackson Action Drama Music Romance
Steven Spielberg,Biography Drama History,schindler's list,Liam Neeson Embeth Davidtz Caroline Goodall Steven Spielberg Biography Drama History
Tate Taylor,Drama,the help,Emma Stone Bryce Dallas Howard Mike Vogel Tate Taylor Drama
Bill Condon,Biography Drama Thriller,the fifth estate,Benedict Cumberbatch Peter Capaldi Jamie Blackley Bill Condon Biography Drama Thriller
Raja Gosnell,Adventure Comedy Family Fantasy Horror Mystery,scooby-doo 2: monsters unleashed,Sarah Michelle Gellar Linda Cardellini Tim Blake Nelson Raja Gosnell Adventure Comedy Family Fantasy Horror Mystery
Oleg Stepchenko,Adventure Fantasy Mystery Thriller,viy,Jason Flemyng Igor Jijikine Agnia Ditkovskite Oleg Stepchenko Adventure Fantasy Mystery Thriller
Ronny Yu,Action Horror Thriller,freddy vs. jason,Katharine Isabelle Jason Ritter Zack Ward Ronny Yu Action Horror Thriller
Michael Winterbottom,Drama,the face of an angel,Cara Delevingne Ava Acres Sara Stewart Michael Winterbottom Drama
John A. Davis,Action Adventure Animation Comedy Family Sci-Fi,jimmy neutron: boy genius,Martin Short Rob Paulsen Andrea Martin John A. Davis Action Adventure Animation Comedy Family Sci-Fi
Matt Reeves,Action Adventure Horror Sci-Fi,cloverfield,Mike Vogel Ben Feldman Liza Lapira Matt Reeves Action Adventure Horror Sci-Fi
Michael Pressman,Action Adventure Comedy Family Sci-Fi,teenage mutant ninja turtles ii: the secret of the ooze,Kevin Nash Paige Turco Ernie Reyes Jr. Michael Pressman Action Adventure Comedy Family Sci-Fi
Brian De Palma,Crime Drama Thriller,the untouchables,Robert De Niro Billy Drago Charles Martin Smith Brian De Palma Crime Drama Thriller
Ethan Coen,Crime Drama Thriller,no country for old men,Kelly Macdonald Stephen Root Barry Corbin Ethan Coen Crime Drama Thriller
Tim Story,Action Comedy Crime Romance,ride along,Bruce McGill Tika Sumpter Bryan Callen Tim Story Action Comedy Crime Romance
Sharon Maguire,Comedy Drama Romance,bridget jones's diary,Colin Firth Jim Broadbent Shirley Henderson Sharon Maguire Comedy Drama Romance
Lasse Hallström,Drama Romance,chocolat,Lena Olin Leslie Caron Hugh O'Conor Lasse Hallström Drama Romance
Charles Herman-Wurmfeld,Comedy,"legally blonde 2: red, white & blonde",Mary Lynn Rajskub Bruce McGill Bob Newhart Charles Herman-Wurmfeld Comedy
Andy Fickman,Comedy Family,parental guidance,Bailee Madison Gedde Watanabe Tom Everett Scott Andy Fickman Comedy Family
Ivan Reitman,Comedy Romance,no strings attached,Natalie Portman Greta Gerwig Mindy Kaling Ivan Reitman Comedy Romance
George P. Cosmatos,Action Biography Drama History Romance Western,tombstone,Michael Biehn Dana Delany Powers Boothe George P. Cosmatos Action Biography Drama History Romance Western
Andrzej Bartkowiak,Action Crime Thriller,romeo must die,Jet Li Delroy Lindo Aaliyah Andrzej Bartkowiak Action Crime Thriller
James Wong,Horror,final destination 3,Chelan Simmons Gina Holden Crystal Lowe James Wong Horror
Scott Hicks,Drama Romance,the lucky one,Blythe Danner Riley Thomas Stewart Jay R. Ferguson Scott Hicks Drama Romance
Gabor Csupo,Adventure Drama Family Fantasy,bridge to terabithia,Josh Hutcherson Zooey Deschanel Bailee Madison Gabor Csupo Adventure Drama Family Fantasy
Marc Forster,Biography Drama Family,finding neverland,Johnny Depp Kate Winslet Kelly Macdonald Marc Forster Biography Drama Family
Tyler Perry,Comedy Drama,a madea christmas,Alicia Witt Tika Sumpter Larry the Cable Guy Tyler Perry Comedy Drama
Joe Carnahan,Action Adventure Drama Thriller,the grey,Liam Neeson Frank Grillo James Badge Dale Joe Carnahan Action Adventure Drama Thriller
John Polson,Drama Horror Mystery Thriller,hide and seek,Robert De Niro Dylan Baker Robert John Burke John Polson Drama Horror Mystery Thriller
Adam McKay,Comedy,anchorman: the legend of ron burgundy,Darcy Donavan Will Ferrell Steve Carell Adam McKay Comedy
Martin Scorsese,Biography Crime Drama,goodfellas,Robert De Niro Mike Starr Paul Sorvino Martin Scorsese Biography Crime Drama
Harald Zwart,Action Adventure Comedy Crime Family Romance Thriller,agent cody banks,Daniel Roebuck Frankie Muniz Chris Gauthier Harald Zwart Action Adventure Comedy Crime Family Romance Thriller
Kirk Jones,Comedy Family Fantasy,nanny mcphee,Colin Firth Kelly Macdonald Imelda Staunton Kirk Jones Comedy Family Fantasy
Brian De Palma,Crime Drama,scarface,Al Pacino F. Murray Abraham Mary Elizabeth Mastrantonio Brian De Palma Crime Drama
Steve Oedekerk,Action Adventure Comedy Crime,nothing to lose,Kelly Preston Michael McKean Rebecca Gayheart Steve Oedekerk Action Adventure Comedy Crime
Bernardo Bertolucci,Biography Drama History,the last emperor,Cary-Hiroyuki Tagawa Joan Chen Victor Wong Bernardo Bertolucci Biography Drama History
Baltasar Kormákur,Action Crime Drama Thriller,contraband,J.K. Simmons David O'Hara Lukas Haas Baltasar Kormákur Action Crime Drama Thriller
Brett Ratner,Action Comedy Crime Thriller,money talks,Heather Locklear Paul Sorvino Faizon Love Brett Ratner Action Comedy Crime Thriller
Paul Thomas Anderson,Drama,there will be blood,Jim Meskimen Paul F. Tompkins Kevin Breznahan Paul Thomas Anderson Drama
Cathy Malkasian,Adventure Animation Comedy Family Fantasy,the wild thornberrys movie,Alfre Woodard Flea Cree Summer Cathy Malkasian Adventure Animation Comedy Family Fantasy
John Eng,Adventure Animation Comedy Family Fantasy Musical,rugrats go wild,Elizabeth Daily Cree Summer Nancy Cartwright John Eng Adventure Animation Comedy Family Fantasy Musical
Malcolm D. Lee,Action Comedy,undercover brother,Dave Chappelle Eddie Griffin Chi McBride Malcolm D. Lee Action Comedy
Ken Kwapis,Comedy Drama Family Romance,the sisterhood of the traveling pants,Mike Vogel America Ferrera Kyle Schmid Ken Kwapis Comedy Drama Family Romance
Chris Nahon,Action Crime Drama Thriller,kiss of the dragon,Jet Li Bridget Fonda Max Ryan Chris Nahon Action Crime Drama Thriller
Fred Wolf,Comedy Romance,the house bunny,Emma Stone Katharine McPhee Beverly D'Angelo Fred Wolf Comedy Romance
Bille Woodruff,Comedy,beauty shop,Alfre Woodard Keshia Knight Pulliam LisaRaye McCoy Bille Woodruff Comedy
Craig Gillespie,Biography Drama Sport,million dollar arm,Jon Hamm Suraj Sharma Gregory Alan Williams Craig Gillespie Biography Drama Sport
Phillip Noyce,Drama Romance Sci-Fi,the giver,Jeff Bridges Meryl Streep Alexander Skarsgård Phillip Noyce Drama Romance Sci-Fi
Dennie Gordon,Comedy Drama Family Romance,what a girl wants,Colin Firth Oliver James Kelly Preston Dennie Gordon Comedy Drama Family Romance
Victor Salva,Horror,jeepers creepers ii,Nicki Aycox Jonathan Breck Billy Aaron Brown Victor Salva Horror
Mark Helfrich,Comedy Romance,good luck chuck,Dane Cook Dan Fogler Chelan Simmons Mark Helfrich Comedy Romance
Andrzej Bartkowiak,Action Crime Drama Thriller,cradle 2 the grave,Jet Li Tom Arnold DMX Andrzej Bartkowiak Action Crime Drama Thriller
Stephen Daldry,Drama Romance,the hours,Meryl Streep Stephen Dillane Miranda Richardson Stephen Daldry Drama Romance
Andy Fickman,Comedy Romance,she's the man,Channing Tatum Alexandra Breckenridge Laura Ramsey Andy Fickman Comedy Romance
Steve Bendelack,Comedy Family,mr. bean's holiday,Lily Atkinson Emma de Caunes Steve Pemberton Steve Bendelack Comedy Family
Dwight H. Little,Action Adventure Horror Thriller,anacondas: the hunt for the blood orchid,Nicholas Gonzalez Salli Richardson-Whitfield Johnny Messner Dwight H. Little Action Adventure Horror Thriller
Guillaume Canet,Crime Drama Thriller,blood ties,Mila Kunis Lili Taylor Billy Crudup Guillaume Canet Crime Drama Thriller
Kirsten Sheridan,Drama Music,august rush,Robin Williams Aaron Staton Marian Seldes Kirsten Sheridan Drama Music
Shekhar Kapur,Biography Drama History,elizabeth,Fanny Ardant John Gielgud Eric Cantona Shekhar Kapur Biography Drama History
Ronny Yu,Comedy Fantasy Horror Romance,bride of chucky,Alexis Arquette Park Bench Vince Corazza Ronny Yu Comedy Fantasy Horror Romance
Richard Fleischer,Action Drama History War,tora! tora! tora!,Joseph Cotten Richard Anderson James Whitmore Richard Fleischer Action Drama History War
Bob Spiers,Comedy Family Music,spice world,Jason Flemyng Richard Briers Victoria Beckham Bob Spiers Comedy Family Music
David Gordon Green,Comedy,the sitter,Ari Graynor J.B. Smoove Kylie Bunbury David Gordon Green Comedy
Damien Dante Wayans,Action Comedy Music,dance flick,Damon Wayans Jr. Essence Atkins Chris Elliott Damien Dante Wayans Action Comedy Music
Frank Darabont,Crime Drama,the shawshank redemption,Morgan Freeman Jeffrey DeMunn Bob Gunton Frank Darabont Crime Drama
Simon Wincer,Adventure Comedy Crime,crocodile dundee in los angeles,Jere Burns Paul Hogan Linda Kozlowski Simon Wincer Adventure Comedy Crime
Bobby Farrelly,Comedy Sport,kingpin,Bill Murray Lin Shaye Richard Tyson Bobby Farrelly Comedy Sport
John Wells,Drama,august: osage county,Benedict Cumberbatch Meryl Streep Julia Roberts John Wells Drama
Tim Fywell,Comedy Drama Family Sport,ice princess,Connie Ray Trevor Blumas Amy Stewart Tim Fywell Comedy Drama Family Sport
Nigel Cole,Comedy Drama Romance,a lot like love,Aimee Garcia Tyrone Giordano James Read Nigel Cole Comedy Drama Romance
Spike Lee,Drama Sport,he got game,Denzel Washington Milla Jovovich Rosario Dawson Spike Lee Drama Sport
Jeremy Leven,Comedy Drama Romance,don juan demarco,Johnny Depp Marlon Brando Faye Dunaway Jeremy Leven Comedy Drama Romance
unknown,Animation Comedy Family,shaun the sheep            ,Justin Fletcher John Sparkes Kate Harbour unknown Animation Comedy Family
Lasse Hallström,Drama Romance War,dear john,Channing Tatum Henry Thomas Scott Porter Lasse Hallström Drama Romance War
Sylvain White,Action Crime Drama Mystery Thriller,the losers,Chris Evans Jason Patric Óscar Jaenada Sylvain White Action Crime Drama Mystery Thriller
Troy Nixey,Fantasy Horror Thriller,don't be afraid of the dark,Bailee Madison Alan Dale Jack Thompson Troy Nixey Fantasy Horror Thriller
Philip G. Atwell,Action Crime Thriller,war,Jason Statham Jet Li Nadine Velazquez Philip G. Atwell Action Crime Thriller
Paul Thomas Anderson,Comedy Drama Romance Thriller,punch-drunk love,Adam Sandler Emily Watson Don McManus Paul Thomas Anderson Comedy Drama Romance Thriller
Jeff Schaffer,Comedy,eurotrip,Matt Damon Scott Mechlowicz Jacob Pitts Jeff Schaffer Comedy
Don Michael Paul,Action Crime Thriller,half past dead,Claudia Christian Nia Peeples Tony Plana Don Michael Paul Action Crime Thriller
Paul Feig,Adventure Comedy Family Romance,unaccompanied minors,Tyler James Williams Rob Riggle B.J. Novak Paul Feig Adventure Comedy Family Romance
James Bridges,Drama,"bright lights, big city",Dianne Wiest Phoebe Cates Swoosie Kurtz James Bridges Drama
Steve Barron,Adventure Family Fantasy Musical,the adventures of pinocchio,Martin Landau Udo Kier Bebe Neuwirth Steve Barron Adventure Family Fantasy Musical
